        Linard Parli, Grasshopper Club Z..., 0, 1, 0, 1, 0, 
        Christian Peduzzi, Kloten-BÃ¼lach Jets, 0, 1, 0, 1, 1, 
        Simon Schweizer, Waldkirch-St. Gallen, 0, 1, 0, 1, 2, 
        Thomas Siegenthaler, UHC GrÃ¼nenmatt, 0, 1, 0, 1, 0, 
        Micha Wilhelm, Floorball KÃ¶niz, 0, 1, 0, 1, 0, 
        Fabian Zolliker, Kloten-BÃ¼lach Jets, 0, 1, 0, 1, 4, 
        Daniel Baumann, Olten Zofingen, 0, 0, 1, 1, 1, 
        Fabian Beeler, Chur Unihockey, 0, 0, 1, 1, 1, 
        Nicola Bischofberger, Chur Unihockey, 0, 0, 1, 1, 1, 
        Severin Brandenberger, Kloten-BÃ¼lach Jets, 0, 0, 1, 1, 1, 
        Christoph Camenisch, Chur Unihockey, 0, 0, 1, 1, 0, 
        Thomas Darms, Chur Unihockey, 0, 0, 1, 1, 0, 
        Florian Hafner, UHC Uster, 0, 0, 1, 1, 0, 
        Pascal Helfenstein, Grasshopper Club Z..., 0, 0, 1, 1, 0, 
        Olivier Hirschi, SV Wiler-Ersigen, 0, 0, 1, 1, 0, 
        Fabian Jucker, Waldkirch-St. Gallen, 0, 0, 1, 1, 2, 
        Mihails Kostusevs, UHC GrÃ¼nenmatt, 0, 0, 1, 1, 0, 
        Valentin Ladner, Grasshopper Club Z..., 0, 0, 1, 1, 1, 
        Ivo Lieberherr, Waldkirch-St. Gallen, 0, 0, 1, 1, 0, 
        Samuel NussbÃ¤cher, UHC GrÃ¼nenmatt, 0, 0, 1, 1, 2, 
        Samuel Nyffenegger, Olten Zofingen, 0, 0, 1, 1, 1, 
        Maurin RÃ¼egg, Waldkirch-St. Gallen, 0, 0, 1, 1, 0, 
        Adam Stegl, Olten Zofingen, 0, 0, 1, 1, 0, 
        Dominic Stucki, UHC GrÃ¼nenmatt, 0, 0, 1, 1, 1, 
        Nino Vetsch, UHC Alligator Malans, 0, 0, 1, 1, 2, 
        AndrÃ© Von Arx, Olten Zofingen, 0, 0, 1, 1, 1, 
        
